GlobalID,InfraYear,Region,Province,Municipality,ImplementingOffice,ProjectID,ProjectDescription,ProjectComponentID,ProjectComponentDescription,Program,TypeofWork,infra_type,Longitude,Latitude,ContractID,ABC,ContractCost,CompletionDateOriginal,CompletionYear,Contractor,ObjectId,CreationDate,Creator,EditDate,Editor,FundingYear,LegislativeDistrict,DistrictEngineeringOffice,ABC_String,ContractCost_String,CompletionDateActual,StartDate,type,slug,_geo
ecde2f99-7901-43d2-99ca-6619e4b8c5d2,2023,Region IX,ZAMBOANGA DEL SUR,ZAMBOANGA CITY (ZAMBOANGA DEL SUR),Zamboanga City 2nd District Engineering Office,P00732476MN,"Construction of Drainage System, Barangay Talon-Talon, Zamboanga City, Zamboanga del Sur",P00732476MN-CW1,"Construction of Drainage Structure - Construction of Drainage System, Barangay Talon-Talon, Zamboanga City, Zamboanga del Sur",,Construction of Drainage Structure,Flood Control Structures,122.1091965,6.909524698,23JA0043,9800000,9897612.75,1700438400000,2023,MI CONSTRUCTION,5004,1754268322388,dpwh_view,1754303523936,dpwh_view,2023,ZAMBOANGA CITY (SECOND LEGISLATIVE DISTRICT),Zamboanga City 2nd District Engineering Office,9800000,9897612.75,2023-10-20,03/23/2023,flood_control,construction-of-drainage-system-barangay-talon-talon-zamboanga-city-zamboanga-del-sur-23ja0043,[object Object]
4a27c019-69d7-4807-afd8-1e17605b859c,2023,Region IX,ZAMBOANGA DEL SUR,ZAMBOANGA CITY (ZAMBOANGA DEL SUR),Zamboanga City 2nd District Engineering Office,P00732474MN,"Construction of Drainage System, Barangay Tetuan, Zamboanga City, Zamboanga del Sur",P00732474MN-CW1,"Construction of Drainage Structure - Construction of Drainage System, Barangay Tetuan, Zamboanga City, Zamboanga del Sur",,Construction of Drainage Structure,Flood Control Structures,122.0905459,6.9196441,23JA0044,9800000,9899967.65,1709078400000,2023,HMI ENTERPRISES,5520,1754268322388,dpwh_view,1754303523936,dpwh_view,2023,ZAMBOANGA CITY (SECOND LEGISLATIVE DISTRICT),Zamboanga City 2nd District Engineering Office,9800000,9899967.65,2023-11-24,04/24/2023,flood_control,construction-of-drainage-system-barangay-tetuan-zamboanga-city-zamboanga-del-sur-23ja0044,[object Object]
893e3bfd-2649-4313-88fa-69a8461a1a2b,2022,Region IX,ZAMBOANGA DEL SUR,ZAMBOANGA CITY (ZAMBOANGA DEL SUR),Zamboanga City 2nd District Engineering Office,P00620260MN,"Construction of Flood Control at Tumaga River Basin, Zamboanga City",P00620260MN-CW1,"Construction of Flood Mitigation Structure - Construction of Flood Control at Tumaga River Basin, Zamboanga City",,Construction of Flood Mitigation Structure,Flood Control Structures,122.091667,6.92444,22JA0023,19517852.63,19595510.37,1678924800000,2023,AEJ HARDWARE CONSTRUCTION & ENTERPRISES,5521,1754268322388,dpwh_view,1754303523936,dpwh_view,2022,ZAMBOANGA CITY (SECOND LEGISLATIVE DISTRICT),Zamboanga City 2nd District Engineering Office,19517852.63,19595510.37,2023-03-17,03/23/2022,flood_control,construction-of-flood-control-at-tumaga-river-basin-zamboanga-city-22ja0023,[object Object]
9b5929bd-9e52-46bf-b9a2-11bcb1bda9ff,2022,Region IX,ZAMBOANGA DEL SUR,ZAMBOANGA CITY (ZAMBOANGA DEL SUR),Zamboanga City 2nd District Engineering Office,P00631079MN,"Construction of Drainage System at San Antonio de Padua Village, Barangay Putik, Zamboanga City, Zamboanga del Sur",P00631079MN-CW1,"Construction of Drainage Structure - Construction of Drainage System at San Antonio de Padua Village, Barangay Putik, Zamboanga City, Zamboanga del Sur",,Construction of Drainage Structure,Flood Control Structures,122.094069485,6.943272409,22JA0040,4736646.36,4948757.89,1674259200000,2023,SHERKAD CONSTRUCTION,5529,1754268322388,dpwh_view,1754303523936,dpwh_view,2022,ZAMBOANGA CITY (SECOND LEGISLATIVE DISTRICT),Zamboanga City 2nd District Engineering Office,4736646.36,4948757.89,2023-01-22,03/24/2022,flood_control,construction-of-drainage-system-at-san-antonio-de-padua-village-barangay-putik-zamboanga-city-zamboanga-del-sur-22ja0040,[object Object]
6328fe1e-e596-4899-9486-6c408e8eb14f,2022,Region IX,ZAMBOANGA DEL SUR,ZAMBOANGA CITY (ZAMBOANGA DEL SUR),Zamboanga City 2nd District Engineering Office,P00631077MN,"Construction of Drainage System at Barangay Guiwan, Zamboanga City, Zamboanga del Sur",P00631077MN-CW1,"Construction of Drainage Structure - Construction of Drainage System at Barangay Guiwan, Zamboanga City, Zamboanga del Sur",,Construction of Drainage Structure,Flood Control Structures,122.094166667,6.931944444,22JA0038,4457665.7,4801870.31,1666051200000,2022,TERRAINSHAPER CONSTRUCTION AND ENTERPRISES,5530,1754268322388,dpwh_view,1754303523936,dpwh_view,2022,ZAMBOANGA CITY (SECOND LEGISLATIVE DISTRICT),Zamboanga City 2nd District Engineering Office,4457665.7,4801870.31,2022-10-19,03/23/2022,flood_control,construction-of-drainage-system-at-barangay-guiwan-zamboanga-city-zamboanga-del-sur-22ja0038,[object Object]
382a3092-96ba-441a-b597-4a1fc43fe8ff,2022,Region IX,ZAMBOANGA DEL SUR,ZAMBOANGA CITY (ZAMBOANGA DEL SUR),Zamboanga City 2nd District Engineering Office,P00631080MN,"Construction of Flood Control (Box Culvert) at Zone III A, Barangay Lumbangan, Zamboanga City, Zamboanga del Sur",P00631080MN-CW1,"Construction of Flood Mitigation Structure - Construction of Flood Control (Box Culvert) at Zone III A, Barangay Lumbangan, Zamboanga City, Zamboanga del Sur",,Construction of Flood Mitigation Structure,Flood Control Structures,122.103150904,6.970052685,22JA0041,4948347.03,4937068.47,1675209600000,2023,AYESHIA GENERAL TRADING CONSTRUCTION AND MAINTENANCE,5539,1754268322388,dpwh_view,1754303523936,dpwh_view,2022,ZAMBOANGA CITY (SECOND LEGISLATIVE DISTRICT),Zamboanga City 2nd District Engineering Office,4948347.03,4937068.47,2023-02-02,03/24/2022,flood_control,construction-of-flood-control-box-culvert-at-zone-iii-a-barangay-lumbangan-zamboanga-city-zamboanga-del-sur-22ja0041,[object Object]
